Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4069,
Trigger Level,1.400E+00,
Source,CH1,
Vertical Units,A,
Vertical Units Div,0,
Vertical Units Extend Div,36,
Label, ,
Probe Type,1,
Probe Ratio,1.000E+02,
Vertical Scale,2.000E-01,
Vertical Position,-6.080E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-03,
Horizontal Position,9.300E-04,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-06,
Horizontal Old Scale,1.000E-03,
Horizontal Old Position,9.300E-04,
Firmware,V1.17,
Mode,Detail,
Waveform Data,
-3.906000e-03,-3.20e-02,
-3.905000e-03,-4.80e-02,
-3.904000e-03,-8.00e-03,
-3.903000e-03,7.20e-02,
-3.902000e-03,2.40e-02,
-3.901000e-03,1.12e-01,
-3.900000e-03,-3.36e-01,
-3.899000e-03,-3.20e-02,
-3.898000e-03,8.00e-03,
-3.897000e-03,1.28e-01,
-3.896000e-03,-1.60e-02,
-3.895000e-03,-4.80e-02,
-3.894000e-03,8.00e-03,
-3.893000e-03,-8.00e-03,
-3.892000e-03,-5.60e-02,
-3.891000e-03,7.20e-02,
-3.890000e-03,-1.60e-02,
-3.889000e-03,-9.60e-02,
-3.888000e-03,-7.20e-02,
-3.887000e-03,-3.20e-02,
-3.886000e-03,4.80e-02,
-3.885000e-03,-8.80e-02,
-3.884000e-03,1.04e-01,
-3.883000e-03,2.72e-01,
-3.882000e-03,1.04e-01,
-3.881000e-03,1.84e-01,
-3.880000e-03,8.00e-03,
-3.879000e-03,-8.00e-03,
-3.878000e-03,7.20e-02,
-3.877000e-03,1.04e-01,
-3.876000e-03,1.84e-01,
-3.875000e-03,2.48e-01,
-3.874000e-03,1.52e-01,
-3.873000e-03,2.72e-01,
-3.872000e-03,1.04e-01,
-3.871000e-03,3.20e-02,
-3.870000e-03,2.48e-01,
-3.869000e-03,-8.80e-02,
-3.868000e-03,1.84e-01,
-3.867000e-03,2.40e-02,
-3.866000e-03,8.00e-03,
-3.865000e-03,2.40e-02,
-3.864000e-03,4.80e-02,
-3.863000e-03,7.20e-02,
-3.862000e-03,3.20e-02,
-3.861000e-03,7.20e-02,
-3.860000e-03,-1.60e-02,
-3.859000e-03,-8.80e-02,
-3.858000e-03,4.80e-02,
-3.857000e-03,-4.80e-02,
-3.856000e-03,-8.80e-02,
-3.855000e-03,-2.48e-01,
-3.854000e-03,-8.00e-03,
-3.853000e-03,-3.20e-02,
-3.852000e-03,1.52e-01,
-3.851000e-03,1.44e-01,
-3.850000e-03,1.44e-01,
-3.849000e-03,3.20e-02,
-3.848000e-03,2.40e-02,
-3.847000e-03,-7.20e-02,
-3.846000e-03,3.20e-02,
-3.845000e-03,2.40e-02,
-3.844000e-03,-5.60e-02,
-3.843000e-03,1.04e-01,
-3.842000e-03,2.40e-02,
-3.841000e-03,1.92e-01,
-3.840000e-03,3.28e-01,
-3.839000e-03,1.92e-01,
-3.838000e-03,3.20e-02,
-3.837000e-03,-8.80e-02,
-3.836000e-03,-1.28e-01,
-3.835000e-03,-8.80e-02,
-3.834000e-03,-4.80e-02,
-3.833000e-03,3.20e-02,
-3.832000e-03,-8.00e-03,
-3.831000e-03,-5.60e-02,
-3.830000e-03,1.12e-01,
-3.829000e-03,-5.60e-02,
-3.828000e-03,8.80e-02,
-3.827000e-03,4.08e-01,
-3.826000e-03,-1.12e-01,
-3.825000e-03,-3.20e-02,
-3.824000e-03,-2.16e-01,
-3.823000e-03,1.68e-01,
-3.822000e-03,-7.20e-02,
-3.821000e-03,-3.20e-02,
-3.820000e-03,7.20e-02,
-3.819000e-03,-1.60e-02,
-3.818000e-03,4.80e-02,
-3.817000e-03,7.20e-02,
-3.816000e-03,8.00e-03,
-3.815000e-03,2.40e-02,
-3.814000e-03,8.00e-03,
-3.813000e-03,-3.20e-02,
-3.812000e-03,-1.28e-01,
-3.811000e-03,-5.60e-02,
-3.810000e-03,-7.20e-02,
-3.809000e-03,-8.00e-03,
-3.808000e-03,-5.60e-02,
-3.807000e-03,-4.80e-02,
-3.806000e-03,-9.60e-02,
-3.805000e-03,7.20e-02,
-3.804000e-03,6.40e-02,
-3.803000e-03,6.40e-02,
-3.802000e-03,6.40e-02,
-3.801000e-03,-8.80e-02,
-3.800000e-03,-3.20e-02,
-3.799000e-03,8.00e-03,
-3.798000e-03,5.12e-01,
-3.797000e-03,-5.60e-02,
-3.796000e-03,-1.60e-02,
-3.795000e-03,-1.52e-01,
-3.794000e-03,2.08e-01,
-3.793000e-03,3.20e-02,
-3.792000e-03,8.00e-03,
-3.791000e-03,-9.60e-02,
-3.790000e-03,2.40e-02,
-3.789000e-03,-1.60e-02,
-3.788000e-03,8.00e-03,
-3.787000e-03,-8.80e-02,
-3.786000e-03,-4.80e-02,
-3.785000e-03,6.40e-02,
-3.784000e-03,-1.60e-02,
-3.783000e-03,-4.80e-02,
-3.782000e-03,-2.16e-01,
-3.781000e-03,-3.92e-01,
-3.780000e-03,-2.56e-01,
-3.779000e-03,-1.76e-01,
-3.778000e-03,-2.32e-01,
-3.777000e-03,-2.32e-01,
-3.776000e-03,-1.36e-01,
-3.775000e-03,-1.12e-01,
-3.774000e-03,8.00e-03,
-3.773000e-03,-1.76e-01,
-3.772000e-03,-1.36e-01,
-3.771000e-03,-9.60e-02,
-3.770000e-03,-4.80e-02,
-3.769000e-03,-1.60e-02,
-3.768000e-03,-2.96e-01,
-3.767000e-03,-2.32e-01,
-3.766000e-03,-3.12e-01,
-3.765000e-03,8.80e-02,
-3.764000e-03,2.40e-02,
-3.763000e-03,-1.12e-01,
-3.762000e-03,-3.20e-02,
-3.761000e-03,-5.60e-02,
-3.760000e-03,-8.00e-03,
-3.759000e-03,3.20e-02,
-3.758000e-03,-7.20e-02,
-3.757000e-03,-8.80e-02,
-3.756000e-03,4.80e-02,
-3.755000e-03,-5.60e-02,
-3.754000e-03,-2.96e-01,
-3.753000e-03,1.12e-01,
-3.752000e-03,1.52e-01,
-3.751000e-03,8.80e-02,
-3.750000e-03,-1.60e-02,
-3.749000e-03,-3.20e-02,
-3.748000e-03,-4.80e-02,
-3.747000e-03,-8.00e-03,
-3.746000e-03,-8.80e-02,
-3.745000e-03,8.00e-03,
-3.744000e-03,1.12e-01,
-3.743000e-03,-7.20e-02,
-3.742000e-03,-3.20e-02,
-3.741000e-03,-4.80e-02,
-3.740000e-03,-9.60e-02,
-3.739000e-03,6.40e-02,
-3.738000e-03,-1.68e-01,
-3.737000e-03,-9.60e-02,
-3.736000e-03,6.40e-02,
-3.735000e-03,1.04e-01,
-3.734000e-03,1.52e-01,
-3.733000e-03,2.40e-02,
-3.732000e-03,8.00e-03,
-3.731000e-03,4.80e-02,
-3.730000e-03,-5.60e-02,
-3.729000e-03,3.20e-02,
-3.728000e-03,-4.80e-02,
-3.727000e-03,-1.60e-02,
-3.726000e-03,8.00e-03,
-3.725000e-03,-3.92e-01,
-3.724000e-03,-1.60e-02,
-3.723000e-03,2.40e-02,
-3.722000e-03,1.68e-01,
-3.721000e-03,-3.20e-02,
-3.720000e-03,-7.20e-02,
-3.719000e-03,-3.20e-02,
-3.718000e-03,-9.60e-02,
-3.717000e-03,6.40e-02,
-3.716000e-03,1.12e-01,
-3.715000e-03,6.40e-02,
-3.714000e-03,-3.20e-02,
-3.713000e-03,-1.28e-01,
-3.712000e-03,2.40e-02,
-3.711000e-03,-5.60e-02,
-3.710000e-03,-8.80e-02,
-3.709000e-03,-8.00e-03,
-3.708000e-03,-3.20e-02,
-3.707000e-03,7.20e-02,
-3.706000e-03,1.28e-01,
-3.705000e-03,8.00e-03,
-3.704000e-03,6.40e-02,
-3.703000e-03,-1.60e-02,
-3.702000e-03,-8.00e-03,
-3.701000e-03,6.40e-02,
-3.700000e-03,2.40e-02,
-3.699000e-03,-8.00e-03,
-3.698000e-03,-5.60e-02,
-3.697000e-03,-8.80e-02,
-3.696000e-03,-4.16e-01,
-3.695000e-03,1.04e-01,
-3.694000e-03,-3.20e-02,
-3.693000e-03,8.00e-03,
-3.692000e-03,3.20e-02,
-3.691000e-03,3.20e-02,
-3.690000e-03,-9.60e-02,
-3.689000e-03,3.20e-02,
-3.688000e-03,-1.60e-02,
-3.687000e-03,6.40e-02,
-3.686000e-03,1.92e-01,
-3.685000e-03,1.92e-01,
-3.684000e-03,1.12e-01,
-3.683000e-03,1.28e-01,
-3.682000e-03,1.84e-01,
-3.681000e-03,6.40e-02,
-3.680000e-03,-7.20e-02,
-3.679000e-03,1.92e-01,
-3.678000e-03,8.80e-02,
-3.677000e-03,7.20e-02,
-3.676000e-03,1.44e-01,
-3.675000e-03,3.20e-02,
-3.674000e-03,1.04e-01,
-3.673000e-03,4.80e-02,
-3.672000e-03,1.28e-01,
-3.671000e-03,8.80e-02,
-3.670000e-03,3.20e-02,
-3.669000e-03,-3.20e-02,
-3.668000e-03,-1.60e-02,
-3.667000e-03,2.40e-02,
-3.666000e-03,1.84e-01,
-3.665000e-03,1.92e-01,
-3.664000e-03,1.68e-01,
-3.663000e-03,1.04e-01,
-3.662000e-03,4.80e-02,
-3.661000e-03,-5.60e-02,
-3.660000e-03,-5.60e-02,
-3.659000e-03,1.44e-01,
-3.658000e-03,-9.60e-02,
-3.657000e-03,3.20e-02,
-3.656000e-03,-1.28e-01,
-3.655000e-03,-1.12e-01,
-3.654000e-03,8.80e-02,
-3.653000e-03,-8.00e-03,
-3.652000e-03,4.24e-01,
-3.651000e-03,-1.52e-01,
-3.650000e-03,-1.12e-01,
-3.649000e-03,-2.48e-01,
-3.648000e-03,8.80e-02,
-3.647000e-03,2.40e-02,
-3.646000e-03,8.80e-02,
-3.645000e-03,-7.20e-02,
-3.644000e-03,8.00e-03,
-3.643000e-03,-1.36e-01,
-3.642000e-03,-3.20e-02,
-3.641000e-03,-8.00e-03,
-3.640000e-03,-4.80e-02,
-3.639000e-03,1.04e-01,
-3.638000e-03,-4.80e-02,
-3.637000e-03,6.40e-02,
-3.636000e-03,3.20e-02,
-3.635000e-03,1.04e-01,
-3.634000e-03,1.04e-01,
-3.633000e-03,-1.28e-01,
-3.632000e-03,1.28e-01,
-3.631000e-03,-3.20e-02,
-3.630000e-03,-1.60e-02,
-3.629000e-03,2.40e-02,
-3.628000e-03,-4.80e-02,
-3.627000e-03,4.80e-02,
-3.626000e-03,-5.60e-02,
-3.625000e-03,-4.80e-02,
-3.624000e-03,-3.20e-02,
-3.623000e-03,6.48e-01,
-3.622000e-03,-4.80e-02,
-3.621000e-03,8.00e-03,
-3.620000e-03,-2.96e-01,
-3.619000e-03,7.20e-02,
-3.618000e-03,2.40e-02,
-3.617000e-03,-4.80e-02,
-3.616000e-03,7.20e-02,
-3.615000e-03,2.40e-02,
-3.614000e-03,-8.00e-03,
-3.613000e-03,8.80e-02,
-3.612000e-03,-1.60e-02,
-3.611000e-03,-5.60e-02,
-3.610000e-03,-1.60e-02,
